Hourly,TZ_ASNSR:Zone Air Relative Humidity[%],TZ_ATOLYE:Zone Air Relative Humidity[%],TZ_KONFSALON:Zone Air Relative Humidity[%],TZ_KORIDOR:Zone Air Relative Humidity[%],TZ_MECODA:Zone Air Relative Humidity[%],TZ_MERDVN:Zone Air Relative Humidity[%],TZ_ODA:Zone Air Relative Humidity[%],TZ_WC:Zone Air Relative Humidity[%],TZ_ASNSR:Zone Air Temperature[C],TZ_ATOLYE:Zone Air Temperature[C],TZ_KONFSALON:Zone Air Temperature[C],TZ_KORIDOR:Zone Air Temperature[C],TZ_MECODA:Zone Air Temperature[C],TZ_MERDVN:Zone Air Temperature[C],TZ_ODA:Zone Air Temperature[C],TZ_WC:Zone Air Temperature[C]
2006-Sep-18 23:00:00,2.433497584075049,60.43097814604574,39.51063016312097,39.17297818539519,32.802180255083016,37.871566162970325,41.223382831839054,36.12049047815048,81.24722721039898,23.998230404649124,23.999951766537183,23.998729288452868,25.075229885324344,23.99957080165243,23.998779038555508,23.99839899339403
2006-Sep-19 00:00:00,2.5485453911695903,60.425629742764016,39.1270706019287,38.864056949313266,33.002031707374634,37.7923301280642,40.97141265211183,36.076080174328645,80.06644007303125,23.997995736479364,23.999961316066944,23.998079043480363,24.928531814447485,23.99970882815984,23.999245364315087,23.999057903253302
2006-Sep-19 01:00:00,2.69201709117143,60.415324941042435,38.76442481159383,38.50998148281079,33.16556471272029,37.70939257825672,40.70961739797444,36.02455518128951,78.68696649190454,23.998841266813614,23.999972848079256,23.99869537209206,24.798664689713533,23.999719023605763,23.99957835620806,23.997977696546936
2006-Sep-19 02:00:00,2.808614859907346,60.406920574469744,38.371171663804994,38.17812578232668,33.269095868701754,37.61636139759875,40.442081847163756,35.96295919020633,77.61417473636493,23.999353441702755,23.9999748990309,23.999129321347013,24.67236949229654,23.99919676782837,23.999713117688383,23.99859903167736
2006-Sep-19 03:00:00,2.9220383588830336,60.39917398116402,37.94952050620662,37.823418391302006,33.284637842775616,37.50770224839747,40.1580135108537,35.887521647314735,76.61319175541138,23.999654848279203,23.999977807591467,23.999403646957635,24.55987846594671,23.99938162060513,23.99981820154646,23.99908772360317
2006-Sep-19 04:00:00,3.035189190619629,60.39200936409711,37.53540170452243,37.47243758112457,33.281451991175715,37.39498647389774,39.87317908842394,35.807905203183985,75.65584428778509,23.999775034408472,23.99998009673818,23.999587639349702,24.451469135147956,23.999526186167575,23.999883368409087,23.999404219531225
2006-Sep-19 05:00:00,3.1507837487199364,60.38886100879197,37.123747509354104,37.11803127730328,33.279362238967074,37.27666492414906,39.58531288174053,35.72251672064687,74.7178010803163,23.998759267842036,23.999984585243265,23.999730793119465,24.3352942211759,23.99965007437838,23.99957028248365,23.99929266060396
2006-Sep-19 06:00:00,3.268976044873322,60.38206377065661,36.69500012783181,36.74687570986511,33.2519021553885,37.14735370882219,39.28387021233018,35.62695004747146,73.79552081926842,23.998701934267277,23.99998887610929,23.999839842919354,24.211731038361094,23.999750412794246,23.999527524739634,23.998696524550372
2006-Sep-19 07:00:00,3.388580438069025,60.372185404336356,36.24641154784148,36.329704473299046,33.29720165027606,36.99854998690328,38.94030785300885,35.510744023404705,72.89368294270257,23.99908369848404,23.994923952524132,23.999111061219406,24.045227550148027,23.999825111941263,23.999715997784687,23.999117197492254
2006-Sep-19 08:00:00,3.3363586763995214,60.846272501665645,35.53168468883508,35.863428417092415,33.149119636118975,36.62972849727403,38.28804663437323,35.21653172242127,73.13074226307074,23.99903077764559,23.999421034836157,23.9991622604819,23.8122366315676,23.99958295422448,23.999404659437683,23.9986466301234
