case_id,label,window_construction,heating_setpoint_c,cooling_setpoint_c,chiller_cop,boiler_efficiency,lighting_primary_w_m2,lighting_secondary_w_m2,infiltration_multiplier,elevator_power_w,eps_thickness_cm,eps_conductivity_w_mk,site_energy_gj,eui_mj_m2,heating_gj,cooling_gj,lighting_gj,equipment_gj,fans_gj,pumps_gj,unmet_heating_hours,unmet_cooling_hours,ashrae55_discomfort_hours,comfort_violation_hours,glass_u_factor,glass_shgc,severe_errors,warnings
case_539ea5fe14b4,"Kazan verimi=0.973152 | Chiller COP=3.20132W/W | Sogutma ayar noktasi=22.1211C | Asansor motoru gucu=4260.36W | EPS isil iletkenligi=0.046714W/mK | EPS kalinligi=20.7039cm | Isitma ayar noktasi=19.4424C | Sizdirmazlik carpani=1.21939 | Aydinlatma - ofis, salon, atolye=2.72679W/m2 | Aydinlatma - koridor, merdiven, WC=1.57396W/m2 | Cam tipi=penc_lowe_4mm",penc_lowe_4mm,19.442358,22.121146,3.201316,0.973152,2.726792,1.573958,1.219391,4260.360695,20.703892,0.046714,2718.22,640.16,3.09,2055.19,94.92,252.64,292.35,20.01,0.0,4.83,798.0,1654.0,1.943,0.591,0,25
case_54604fed2b61,"Kazan verimi=0.882904 | Chiller COP=5.49286W/W | Sogutma ayar noktasi=25.7691C | Asansor motoru gucu=4543.91W | EPS isil iletkenligi=0.037911W/mK | EPS kalinligi=10.4613cm | Isitma ayar noktasi=21.1831C | Sizdirmazlik carpani=0.511357 | Aydinlatma - ofis, salon, atolye=12.999W/m2 | Aydinlatma - koridor, merdiven, WC=1.47015W/m2 | Cam tipi=penc_lowe_4mm",penc_lowe_4mm,21.183099,25.769146,5.492861,0.882904,12.998981,1.470152,0.511357,4543.914571,10.461324,0.037911,1875.14,441.61,0.0,1040.89,374.74,255.89,189.08,14.54,0.0,1.83,3259.33,289.0,1.943,0.591,0,30
case_56675fe8c17a,"Kazan verimi=0.666953 | Chiller COP=6.22755W/W | Sogutma ayar noktasi=23.8491C | Asansor motoru gucu=2587.39W | EPS isil iletkenligi=0.029154W/mK | EPS kalinligi=4.35787cm | Isitma ayar noktasi=21.8498C | Sizdirmazlik carpani=1.33241 | Aydinlatma - ofis, salon, atolye=6.53744W/m2 | Aydinlatma - koridor, merdiven, WC=6.29714W/m2 | Cam tipi=penc_cont_6_4mm",penc_cont_6_4mm,21.849765,23.849146,6.227555,0.666953,6.537443,6.297142,1.33241,2587.392831,4.357875,0.029154,1362.5,320.88,112.14,577.54,260.11,233.46,163.8,15.46,0.0,0.0,344.5,0.0,1.682,0.353,0,25
case_5ab43b3de165,"Kazan verimi=0.963482 | Chiller COP=5.26546W/W | Sogutma ayar noktasi=26.4731C | Asansor motoru gucu=985.313W | EPS isil iletkenligi=0.043764W/mK | EPS kalinligi=16.5998cm | Isitma ayar noktasi=20.2942C | Sizdirmazlik carpani=0.328532 | Aydinlatma - ofis, salon, atolye=8.93981W/m2 | Aydinlatma - koridor, merdiven, WC=1.96323W/m2 | Cam tipi=penc_renk_6mm",penc_renk_6mm,20.29421,26.473146,5.265456,0.963482,8.93981,1.963232,0.328532,985.313436,16.599849,0.043764,1574.5,370.8,1.78,903.94,269.99,215.08,171.9,11.81,0.0,0.0,3961.33,35168.0,2.673,0.606,0,28
case_5aded321a61d,"Kazan verimi=0.847449 | Chiller COP=4.63572W/W | Sogutma ayar noktasi=24.1691C | Asansor motoru gucu=4217.83W | EPS isil iletkenligi=0.036459W/mK | EPS kalinligi=9.44408cm | Isitma ayar noktasi=19.8498C | Sizdirmazlik carpani=0.448199 | Aydinlatma - ofis, salon, atolye=11.9221W/m2 | Aydinlatma - koridor, merdiven, WC=1.02898W/m2 | Cam tipi=penc_snerji_4mm",penc_snerji_4mm,19.849765,24.169146,4.635718,0.847449,11.922058,1.028976,0.448199,4217.827614,9.444082,0.036459,1990.94,468.88,0.12,1169.05,339.57,252.15,216.14,13.9,0.0,1.83,1729.17,147.0,1.739,0.476,2,25
case_5b40fcb55862,"Kazan verimi=0.857119 | Chiller COP=2.57158W/W | Sogutma ayar noktasi=29.3531C | Asansor motoru gucu=7492.87W | EPS isil iletkenligi=0.039409W/mK | EPS kalinligi=13.5481cm | Isitma ayar noktasi=19.2942C | Sizdirmazlik carpani=1.33906 | Aydinlatma - ofis, salon, atolye=5.70904W/m2 | Aydinlatma - koridor, merdiven, WC=0.639702W/m2 | Cam tipi=penc_lowe_4mm",penc_lowe_4mm,19.29421,29.353146,2.571579,0.857119,5.70904,0.639702,1.339058,7492.874873,13.548125,0.039409,1962.0,462.06,1.09,1378.03,164.5,289.72,120.12,8.54,0.0,0.17,3902.5,40732.0,1.943,0.591,0,25
case_5bcebd547d89,"Kazan verimi=0.821664 | Chiller COP=7.71444W/W | Sogutma ayar noktasi=27.7531C | Asansor motoru gucu=7166.79W | EPS isil iletkenligi=0.037958W/mK | EPS kalinligi=12.5309cm | Isitma ayar noktasi=16.2942C | Sizdirmazlik carpani=1.2759 | Aydinlatma - ofis, salon, atolye=4.63212W/m2 | Aydinlatma - koridor, merdiven, WC=7.67257W/m2 | Cam tipi=penc_snerji_4mm",penc_snerji_4mm,16.29421,27.753146,7.714436,0.821664,4.632117,7.672574,1.2759,7166.787917,12.530884,0.037958,1105.08,260.25,0.0,446.29,225.7,285.98,139.16,7.95,0.0,0.5,3531.17,36034.0,1.739,0.476,0,25
case_5d6ddf4b4ffc,"Kazan verimi=0.908689 | Chiller COP=7.45205W/W | Sogutma ayar noktasi=29.8651C | Asansor motoru gucu=1594.95W | EPS isil iletkenligi=0.036412W/mK | EPS kalinligi=7.37452cm | Isitma ayar noktasi=15.7387C | Sizdirmazlik carpani=0.886981 | Aydinlatma - ofis, salon, atolye=6.37176W/m2 | Aydinlatma - koridor, merdiven, WC=2.3006W/m2 | Cam tipi=penc_lowe_4mm",penc_lowe_4mm,15.738654,29.865146,7.452045,0.908689,6.371762,2.300602,0.886981,1594.954268,7.374522,0.036412,1026.87,241.83,0.0,478.71,204.06,222.07,114.24,7.8,0.0,0.0,4007.17,42642.0,1.943,0.591,0,25
case_619d9c9b0148,"Kazan verimi=0.631499 | Chiller COP=5.37041W/W | Sogutma ayar noktasi=29.9291C | Asansor motoru gucu=2261.31W | EPS isil iletkenligi=0.027703W/mK | EPS kalinligi=3.34063cm | Isitma ayar noktasi=17.8498C | Sizdirmazlik carpani=1.26925 | Aydinlatma - ofis, salon, atolye=5.46052W/m2 | Aydinlatma - koridor, merdiven, WC=5.85597W/m2 | Cam tipi=penc_snerji_4mm",penc_snerji_4mm,17.849765,29.929146,5.370412,0.631499,5.46052,5.855965,1.269252,2261.305875,3.340634,0.027703,1059.91,249.62,0.33,489.96,224.95,229.72,109.14,5.83,0.0,0.0,3779.67,39035.0,1.739,0.476,0,25
case_62b9d6d49299,"Kazan verimi=0.912205 | Chiller COP=7.24213W/W | Sogutma ayar noktasi=25.7179C | Asansor motoru gucu=7209.32W | EPS isil iletkenligi=0.048212W/mK | EPS kalinligi=23.7907cm | Isitma ayar noktasi=23.9979C | Sizdirmazlik carpani=0.847091 | Aydinlatma - ofis, salon, atolye=9.35401W/m2 | Aydinlatma - koridor, merdiven, WC=0.743509W/m2",penc_std_4mm,23.997913,25.717946,7.242132,0.912205,9.354011,0.743509,0.847091,7209.320998,23.790693,0.048212,1633.06,384.59,101.06,764.18,265.61,286.46,192.49,23.26,0.0,0.0,2245.67,282.0,2.718,0.731,0,25
