Hourly,TZ_ASNSR:Zone Air Relative Humidity[%],TZ_ATOLYE:Zone Air Relative Humidity[%],TZ_KONFSALON:Zone Air Relative Humidity[%],TZ_KORIDOR:Zone Air Relative Humidity[%],TZ_MECODA:Zone Air Relative Humidity[%],TZ_MERDVN:Zone Air Relative Humidity[%],TZ_ODA:Zone Air Relative Humidity[%],TZ_WC:Zone Air Relative Humidity[%],TZ_ASNSR:Zone Air Temperature[C],TZ_ATOLYE:Zone Air Temperature[C],TZ_KONFSALON:Zone Air Temperature[C],TZ_KORIDOR:Zone Air Temperature[C],TZ_MECODA:Zone Air Temperature[C],TZ_MERDVN:Zone Air Temperature[C],TZ_ODA:Zone Air Temperature[C],TZ_WC:Zone Air Temperature[C]
2006-Apr-18 21:00:00,44.008618970628056,30.815075213219405,33.98174120769319,35.18531249568568,27.933196353026556,25.942003762769748,31.007110161583057,28.4224814621563,16.313093756781573,23.99999277698998,22.20700947544017,23.999998612610046,22.39481173201698,23.999967564209555,23.99999649811171,23.99997113378262
2006-Apr-18 22:00:00,46.98532920403223,30.20188632866414,32.369732855838116,34.285027641025415,27.706263361802087,26.017201155184775,30.429205982147053,28.382012220717296,16.189185071638242,23.99997871759739,22.64855613890839,23.999998409709445,22.73623682518209,23.99995812955311,23.999996131991384,23.999985048590602
2006-Apr-18 23:00:00,54.92416683251057,30.355002766137847,32.056018876959605,34.22259603251991,28.1006357732888,26.187765942424665,30.557267452579726,28.41887573369793,16.084376637325605,23.99999141970802,22.917470135989976,23.999999527900368,22.825556791104635,23.999979544441867,23.999999041411883,23.999993166172604
2006-Apr-19 00:00:00,53.0223061232395,30.466590773478558,32.18511685310696,34.145794115904586,28.661255903727522,26.33168644464743,30.648217683656224,28.444081512196433,16.133739134909398,23.99999818889673,22.932756093179695,23.99999589202511,22.76160285642032,23.999992332002105,23.999993642911377,23.99996909918002
2006-Apr-19 01:00:00,49.384496619991616,30.480962250796935,32.283574329206715,34.16613431392526,29.06387211163127,26.41486330024681,30.840509108836514,28.44894232233892,16.68977365430641,23.99999761416214,22.900897622065873,23.9347248563268,22.680980671006704,23.99999744640255,23.89820025528564,23.999982649343064
2006-Apr-19 02:00:00,49.91028235723553,30.478762771408185,32.370766451752736,34.39658433511699,29.43279530682641,26.487602398005397,31.267031254560276,28.452963952387282,16.187105588973143,23.99522096508863,22.858422183788992,23.761911869236915,22.59422712211449,23.999999598049765,23.659844460356897,23.999995896223215
2006-Apr-19 03:00:00,49.767789350088044,30.532189585600836,32.43258218100622,34.418282638011746,29.780909232731272,26.564467210054914,31.387723514265133,28.461348525604308,16.21801463976381,23.965081137975442,22.83376093485977,23.695738174050348,22.51783122809118,23.99999671375419,23.590883331687603,23.999996007757776
2006-Apr-19 04:00:00,50.36807599318251,30.457038039805354,32.47564542945872,34.13537672984537,30.13503640797883,26.64169435358924,31.142349975357245,28.470080296951398,15.955946615986738,23.999998570481406,22.813059335789188,23.77219509946946,22.439926216005215,23.999999302037537,23.711229722112943,23.999995176850433
2006-Apr-19 05:00:00,49.78769457558709,30.507722226215538,32.55005586696493,34.23262915235251,30.478214814893587,26.71988731162506,31.367440484546492,28.482023218544516,16.184413646321513,23.973719085308385,22.783902506140937,23.673697282612,22.360628366630635,23.999998178680624,23.589161044431034,23.999998819530333
2006-Apr-19 06:00:00,50.13859871020233,30.715452771938075,32.623407500892924,34.39156393891552,30.79398197175,26.78291544977408,31.652696102333493,28.489350426518982,15.844254000602854,23.844694530843878,22.73512283612411,23.536806184422534,22.267697843227126,23.999998213755273,23.420640865758568,23.999999661522207
2006-Apr-19 07:00:00,48.32912420394549,30.910816357687565,32.89849253242088,34.3554669844786,31.298011598592307,26.846893102354205,31.75375402876068,28.497519062273323,15.967632849136903,23.700311633312726,22.56085556827098,23.471029796132274,22.067331125386385,23.99999400105185,23.328392006022103,23.999996249522567
2006-Apr-19 08:00:00,48.0192759373928,30.940349389695882,34.02570331858637,33.73977897758341,32.556348737727994,26.97647053646754,31.217248846649756,28.513909995014718,15.878258392427972,23.69443302465653,22.014007161559704,23.68352460904208,21.51620246339665,23.999999060185203,23.610109401715146,23.999989906989526
2006-Apr-19 09:00:00,43.94522922734683,31.652805895529188,32.009427773506324,34.16370178469145,32.553153004466715,27.19525865541885,31.668510434604812,28.55007990977303,17.573553570428214,23.99948336560206,23.72618582243447,23.998828196707006,21.687439760598426,23.99998225930509,23.999745805236625,23.999965771169375
2006-Apr-19 10:00:00,44.54364095547776,34.28570720239877,34.41132088868073,36.66706321782836,33.112793649413064,27.589178634293614,34.134892210969106,28.648452589514665,17.96570042413809,23.999910138236547,23.99999614330623,23.99995878909698,21.757989930726353,23.99998352567107,23.99984408300563,23.999949683523866
2006-Apr-19 11:00:00,45.42035410263539,36.74599249658403,37.07942964141683,39.207081197308774,33.65139212835597,28.01676965646764,36.47647332225649,28.77725925986506,17.943123790462455,23.999919611061426,23.99999375670879,23.99989875140243,21.853921285748882,23.99997121531464,23.99990149560574,23.999914526634992
2006-Apr-19 12:00:00,45.71020486811795,38.34758884153181,38.787072575184375,40.97082965528647,33.89053606703256,28.361936000931536,38.01670108836774,28.886591212593867,18.259371515485356,23.9997848980413,23.999984385119802,23.999780019519505,22.01296530067515,23.999956123853483,23.999712672077298,23.999817129010097
2006-Apr-19 13:00:00,42.73175777307864,38.418927370671184,38.808714432083804,41.21732868695165,34.02519794471792,28.530866612434227,38.122701340587476,28.93681632041623,17.847835084642686,23.99993273728477,23.99999951973261,23.999927499028274,22.022175833729744,23.99997147225191,23.999881422914907,23.99989468661309
2006-Apr-19 14:00:00,39.40553938629906,38.13224502782217,38.40640187726806,41.4040812328935,32.924900417102414,28.397012174076384,37.91165460939972,28.86480826723349,18.106888957660868,23.999893466803755,23.999991969457145,23.999928898608513,22.155866822692612,23.999978692899436,23.999858937424367,23.9999079684395
2006-Apr-19 15:00:00,49.355454722893676,39.44352309916145,39.76436613255128,42.991623142439074,33.13354607369386,28.6256124913283,39.196785834887145,28.929850793749456,17.73861247215824,23.999899350546297,23.999993823607287,23.999974689145073,22.20174139729008,23.999985118910956,23.999917238980487,23.999944153143172
2006-Apr-19 16:00:00,55.47656333918306,42.01296974515801,42.49170312254635,45.40158161403906,35.523651397646326,29.58722507585931,41.66715781071985,29.291194434903076,17.590257967924103,23.999965921226234,23.999982920470575,23.9999544700844,22.15232849880232,23.999986089791477,23.999946133982395,23.999965811025834
2006-Apr-19 17:00:00,55.31536499556074,43.80112781001429,44.31457354672765,47.221112634306174,37.42332147509595,30.505849167324186,43.429550497575555,29.66886148410732,17.348635233623032,23.999924883573886,23.999992997584695,23.99999072943098,22.096044266386656,23.999998846533234,23.999963649954765,23.999977496966135
